"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"United Kingdom, Europe","place","041-003202785","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000030","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1984 UK writer and novelist. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(45)","","","Genre: Portrait Photography. Half length portrait of Ballard standing with his hands in his trouser pockets with the bottom button of his leather jacket fastened; he stands to the right of a corner of a room with plain walls and is slightly turned to the left",""
"United Kingdom, Europe","place","041-003202786","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000031","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard '84. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 176 mm x 127 mm","","Visual Arts. Godwin Photo 1(46)","","","Genre: Portrait Photography. Half length portrait of Ballard standing with his hands in his trouser pockets with the bottom button of his leather jacket fastened; he stands to the right of a corner of a room with plain walls. He is slightly turned to the left, a variant of Godwin Photo 1 (45)",""
"United Kingdom, Europe","place","041-003203501","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fc","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(20)","","","Inscription: Handwritten in pencil on verso: 2744-3-14. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"United Kingdom, Europe","place","041-003203502","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fd","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(21)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"United Kingdom, Europe","place","041-003203503","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fe","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(22)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"United Kingdom, Europe","place","041-003203504","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002ff","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(23)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"United Kingdom, Europe","place","041-003203505","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000300","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(24)","","","Inscription: Handwritten in pencil on recto : J G Ballard 1984 verso: 1/ 5960.5.26/ N/ 25 S. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"United Kingdom, Europe","place","041-003203506","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000301","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(25)","","","Inscription: Handwritten in pencil on verso: 2/ 5960.5.26/ N/ 23./ ½ Ad. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"United Kingdom, Europe","place","041-003203507","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000302","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(26)","","","Inscription: Handwritten in pencil on verso: 5/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"United Kingdom, Europe","place","041-003203508","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000303","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(27)","","","Inscription: Handwritten in pencil on verso: 6/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"United Kingdom, Europe","place","041-003204111","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00055e","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard [1976]. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 354 mm x 279 mm","","Visual Arts. Godwin Photo 3(4)","","","Inscription: Godwin's signature on mount. Handwritten in pencil on verso: J G Ballard. Genre: Portrait Photography. Close-up of Ballad with his face turned slightly to the left and is also from the left; he wears a shirt with rows of white polka dots and a leather jacket. Dry mounted on board with Godwin's signature, image size 272 x 181 mm",""
"United Kingdom, Europe","place","041-003204171","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00059a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 279 mm x 355 mm","","Visual Arts. Godwin Photo 4(2)","","","Inscription: Inscribed in pencil on verso: 3/ 5960.5.26/ N/ 22/ I min Ad/ J G Ballard 84/ © Fay Godwin [signature]. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Image size 275 x 182 mm",""
"Utopias--Fiction","general term","016659368","Monograph","Language material ; Text","Volume","","","9780312131647 ; 9780312134150","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Rushing to paradise","","","","United States of America","New York","Picador USA","1995","1st Picador USA edition","238 pages, 22 cm","823.914","YD.2014.a.1226","Humour or satire ; Utopian fiction","English","",""
"Wahrnehmung","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Wire (Television program)","title","019034403","Monograph","Language material ; Text","Volume","GBB907203","","9781476664668","Heffernan, Niall","1977-","person","author","Heffernan, Niall, 1977-, author [person]","In the shadow of the bomb : the legacy of the Cold War in Dr. Strangelove, End Zone, Crash and The Wire","","","","United States of America","Jefferson, North Carolina","McFarland","2018","","vii, 201 pages, 23 cm","320.510973","YC.2019.a.592","","English","",""
"Women environmentalists--Fiction","general term","016659368","Monograph","Language material ; Text","Volume","","","9780312131647 ; 9780312134150","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Rushing to paradise","","","","United States of America","New York","Picador USA","1995","1st Picador USA edition","238 pages, 22 cm","823.914","YD.2014.a.1226","Humour or satire ; Utopian fiction","English","",""
